Etiqueta spaCy (Clase),Expresiones de Entrenamiento (Entidad extra칤da),Tipo de C치lculo,L칩gica de Python (timedelta o relativedelta)
TD_FECHA_FIJA,"el 12 de marzo", "el 1 de enero",Fijo (Fecha Espec칤fica),Requiere l칩gica de parsing simple de fechas, no timedelta
TD_AHORA 游	"ahora mismo", "ya", "en este momento", "inmediatamente"	Cero (Tiempo/Fecha Actual)	Devolver datetime.now()
TD_HOY 游	"hoy", "este d칤a"	Fijo (D칤a Actual)	Devolver datetime.now() a las 00:00:00
TD_MINUTO,"en 5 minutos, en media hora, dentro de 45 minutos",Variable,timedelta(minutes=N)
TD_HORA,"en 3 horas, dentro de una hora, en dos horas",Variable,timedelta(hours=N)
TD_DIA,"en 10 d칤as, dentro de 7 d칤as, en 21 d칤as",Variable,timedelta(days=N)
TD_SEMANA,"en 3 semanas, dentro de un par de semanas",Variable,timedelta(weeks=N)
TD_MES,"en 2 meses, dentro de un mes, en 6 meses",Variable,relativedelta(months=N)
TD_DIA_1,"ma침ana, al d칤a siguiente",Fijo (1 D칤a),timedelta(days=1)
TD_DIA_2,"pasado ma침ana, dentro de dos d칤as",Fijo (2 D칤as),timedelta(days=2)
TD_SEM_2,"en una quincena, en quince d칤as",Fijo (2 Semanas),timedelta(weeks=2)
TD_HORA_MANANA,"por la ma침ana,a primera hora",Fijo (8:00),"relativedelta(hour=8)"
TD_HORA_TARDE,"por la tarde",Fijo (15:00),"relativedelta(hour=15)"
TD_HORA_NOCHE,"por la noche,a 칰ltima hora,a la hora de dormir",Fijo (00:00),"relativedelta(hour=00)"
TD_HORA_MEDIODIA,"al mediod칤a",Fijo (12:00),"relativedelta(hour=12)"
TD_HORA_ALMUERZO,"hora del almuerzo,a la hora de comer",Fijo (13:00),"relativedelta(hour=13)"
TD_HORA_CENA,"hora de la cena",Fijo (20:00),"relativedelta(hour=20)"
TD_HORA_MADRUGADA,"a la madrugada",Fijo (5:00),"relativedelta(hour=5)"
TD_HORA_ATARDECER,"al atardecer",Fijo (19:00),"relativedelta(hour=19)"
TD_FIN_SEM,"el fin de semana", "este fin de semana",Fijo (Ej. Siguiente Viernes 18:00),L칩gica de fecha/hora (e.g., siguiente viernes a las 18:00)
TD_DIA_SEM, "este lunes", "lunes", 
TD_DIA_MES	"el 12 del mes", "d칤a 5 de este mes"	Variable	relativedelta(day=N)
TD_FIN_MES	"a fin de mes", "el 칰ltimo d칤a del mes"	Fijo	L칩gica de fecha para el 칰ltimo d칤a del mes actual/siguiente.
TD_TRIMESTRE	"en un trimestre", "dentro de 3 meses"	Variable	relativedelta(months=N*3)